# Table S3 Comprehensive yeast annotation table
# Costa et. al
# See Materials and Methods for additional information on annotation derivation
#
# gene: systematic gene name
# name: common gene name
# secretome: whether gene is a member of the secretome
# srp_dept: whether gene is predicted to be SRP-dependent, SRP-independent, or Internal
# tailanchor: whether this gene is annotated as tailanchor
# mitop2: whether gene is a member of the mitop2 reference set
# chx_dept: whether gene is predicted as CHX-dependent or CHX-independent for ER enrichment
# amino_acid_length: length of gene in amino acids
# hydrophobic_start: position, in amino acids, where the first Phobius-predicted hydrophobic feature begins
# first_hydrophobic_type: whether first Phobius-predicted hydrophobic feature is signal peptide (SP) or transmembrane domain (TMD)
# hydrophobic features: all Phobius-predicted hydrophobic features throughout length of protein
# For a given sequencing experiment:
#	The first portion indicates the protein to which BirA was fused
#	'XmAuxin' indicates X minutes of auxin treatment prior to biotinylation
#	'XmCHX' indicates X minutes of CHX pre-treatment (in addition to biotinylation time)
#	'XmBiotin' indicates X minutes of biotinylation time
#	'input' represents the whole cell ribosome profiling library
#	'pulldown' represents a biotin pulldown ribosome profiling library
#	'cts' refers to the number of sequencing reads that mapped to the gene
#	'rpkm' is reads per kilobase per million, which corrects counts for total sequencing reads in the library and gene length
#	'log2enrich' represents log2(*pulldown_rpkm/*input_rpkm)
#
gene	name	secretome	srp_dept	tailanchor	mitop2	chx_dept	amino_acid_length	hydrophobic_start	first_hydrophobic_type	hydrophobic_features	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_15mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_cts	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_rpkm	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_cts	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_60mAuxin_2mCHX_2mBiotin_log2enrich	sec63BirA_srp72-AID_0mAuxin_0mCHX_1minBiotin_input_cts	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_0mAuxin_0mCHX_1mBiotin_log2enrich	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_input_cts	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_30mAuxin_0mCHX_1mBiotin_log2enrich	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_input_cts	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_input_rpkm	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_pulldown_cts	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_pulldown_rpkm	sec63BirA_srp72-AID_60mAuxin_0mCHX_1mBiotin_log2enrich	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_15mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_cts	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_input_rpkm	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_cts	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_pulldown_rpkm	BirAubc6_srp72-AID_60mAuxin_2mCHX_2mBiotin_log2enrich	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	tom20BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	tom20BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_cts	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_input_rpkm	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_cts	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_pulldown_rpkm	om45BirA_srp72-AID_0mAuxin_2mCHX_2mBiotin_log2enrich	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_cts	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_input_rpkm	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_cts	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_pulldown_rpkm	om45BirA_srp72-AID_30mAuxin_2mCHX_2mBiotin_log2enrich
YBR016W	YBR016W	yes	Tail anchor	yes	no		128	None	None	None	2084.0	466.00294395	610.0	117.25311369	-1.99071283463	11792.0	267.4196158	3858.0	125.40999981	-1.09245290526	11898.0	301.20747506	3863.0	151.78040765	-0.988771999178	10237.0	769.57756738	4143.0	394.82561866	-0.962851142662	2720.0	319.64969402	3599.0	302.38142849	-0.0801221772799	1996.0	296.51258794	1775.0	331.54067813	0.161092538316	3502.0	542.93367977	7457.0	566.51979289	0.0613503800993	420.0	308.03750468	322.0	139.41477412	-1.14372255977	1761.0	359.70952864	559.0	165.33437565	-1.12144566161	1577.0	327.74916918	456.0	164.62510739	-0.99340774173	2133.0	543.66023229	939.0	315.19614553	-0.786455409127	1886.0	190.26894542	1043.0	142.37659772	-0.418328080971	3181.0	291.90184577	1280.0	166.78905648	-0.807458700971	8784.0	344.45235576	7585.0	188.49379056	-0.869787446445	4368.0	337.14479351	5292.0	190.82267715	-0.821135688687
YBR017C	KAP104	no	Not secreted	no	no		918	None	None	None	1951.0	60.82967604	454.0	12.16795768	-2.32168828037	18497.0	58.48902408	4656.0	21.1032918	-1.47069786168	11434.0	40.36056686	2989.0	16.3751094	-1.30144189195	3875.0	40.61801465	1045.0	13.88589798	-1.54849924743	3979.0	65.19985301	3092.0	36.22263514	-0.84797720806	2199.0	45.54860874	1012.0	26.35641062	-0.78925307975	1703.0	36.81396353	1993.0	21.11181307	-0.802202602266	264.0	26.99762257	299.0	18.05059011	-0.580786365632	2099.0	59.78225785	608.0	25.07391906	-1.2535298782	1441.0	41.75814283	425.0	21.39377614	-0.964866400287	1018.0	36.1786017	397.0	18.58117189	-0.961295155528	3804.0	53.50988522	1419.0	27.00871898	-0.986380219694	2645.0	33.84278827	883.0	16.04299966	-1.07690451868	12381.0	67.69550685	11633.0	40.30885663	-0.74796321967	4350.0	46.8155762	5274.0	26.51658324	-0.820093723765
YBR018C	GAL7	no	Not secreted	no	no		366	None	None	None	5.0	0.39101177	0.0	0.0		32.0	0.25379593	28.0	0.31831482		85.0	0.75255733	21.0	0.28856203	-1.38292001345	21.0	0.55211288	10.0	0.33328769		8.0	0.32879429	6.0	0.17630044		6.0	0.31171861	6.0	0.39193911		11.0	0.59642002	17.0	0.4516778		1.0	0.25649753	2.0	0.302839		12.0	0.85724057	2.0	0.20687606		4.0	0.29073598	4.0	0.5050334		3.0	0.26741567	12.0	1.40872245		4.0	0.14112862	10.0	0.47740085		15.0	0.48138584	31.0	1.41269419		36.0	0.49370579	148.0	1.28626977		25.0	0.67484296	135.0	1.70244387	
YBR019C	GAL10	no	Not secreted	no	no		699	None	None	None	6.0	0.24568293	8.0	0.28159007		77.0	0.31976381	23.0	0.13690855	-1.22379412139	92.0	0.42649349	33.0	0.23743117	-0.845014375766	77.0	1.05999353	80.0	1.39608922	0.397335684058	13.0	0.27975737	15.0	0.23077955		8.0	0.21762329	5.0	0.17101778		5.0	0.14194936	36.0	0.50082528		5.0	0.67151714	4.0	0.31713612		19.0	0.710688	1.0	0.05416068		18.0	0.68503886	5.0	0.33054761		30.0	1.40020221	9.0	0.55321075		8.0	0.14779135	3.0	0.07499086		9.0	0.15123366	9.0	0.21474986		49.0	0.3518566	106.0	0.48236981		34.0	0.4805577	67.0	0.44240268	
YBR020W	GAL1	no	Not secreted	no	no		528	None	None	None	0.0	0.0	0.0	0.0		10.0	0.0549771	0.0	0.0		25.0	0.15342914	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		1.0	0.03601295	1.0	0.04528084		0.0	0.0	0.0	0.0		0.0	0.0	6.0	0.62976747		1.0	0.04951863	0.0	0.0		0.0	0.0	1.0	0.08751999		0.0	0.0	0.0	0.0		6.0	0.14674169	1.0	0.03309256		6.0	0.13347517	1.0	0.03158884		7.0	0.06654431	4.0	0.02409781		1.0	0.01871155	11.0	0.09615655	
YBR021W	FUR4	yes	Internal	no	no	indept	633	146	TMD	TMD	285.0	12.8867103	1285.0	49.94637075	1.95449582968	686.0	3.14583663	1072.0	7.04645997	1.16345490188	423.0	2.16540137	499.0	3.96458572	0.872535657334	172.0	2.61465506	199.0	3.83486189	0.552553990379	383.0	9.10144654	947.0	16.08901684	0.821908405595	71.0	2.13278563	52.0	1.96402977	-0.118922167544	50.0	1.56749767	91.0	1.3979724		31.0	4.59750552	165.0	14.44585102		75.0	3.09784803	91.0	5.44250709	0.813005009726	66.0	2.77370393	36.0	2.62808852	-0.0777999303628	24.0	1.23695589	37.0	2.51144279		975.0	19.89010602	352.0	9.71635168	-1.03356435229	278.0	5.15850942	183.0	4.82186372	-0.0973633743798	942.0	7.46954236	1206.0	6.06031266	-0.301627629168	120.0	1.87292908	265.0	1.9322454	0.0449820599084
YBR022W	POA1	no	Not secreted	no	no		177	None	None	None	210.0	33.95837843	25.0	3.47513165	-3.28862803115	2656.0	43.55826412	899.0	21.13325235	-1.04343164985	2496.0	45.69546123	845.0	24.00957204	-0.928441186161	1305.0	70.94583614	643.0	44.31370553	-0.678965043393	448.0	38.07326365	552.0	33.53891808	-0.182942093125	389.0	41.78966628	239.0	32.28293921	-0.372374302564	611.0	68.50283652	1038.0	57.02758775	-0.264503719042	33.0	17.50269599	43.0	13.46350347		397.0	58.64348841	115.0	24.59721263	-1.25347608698	353.0	53.05438869	140.0	36.55072262	-0.537572167629	467.0	86.07762878	179.0	43.45152667	-0.986231468818	786.0	57.34366837	591.0	58.34162029	0.0248912548391	925.0	61.38349441	684.0	64.45407606	0.0704208199628	1796.0	50.9307261	3175.0	57.05870305	0.163910669354	1024.0	57.15713972	2198.0	57.31582399	0.00399977686635
YBR023C	CHS3	yes	Internal	no	no	indept	1165	169	TMD	TMD	1237.0	30.39097894	9696.0	204.7722963	2.75230549379	10992.0	27.38839319	39961.0	142.72180705	2.38156925269	6688.0	18.60253326	13824.0	59.67724644	1.68168187156	2807.0	23.18494946	4234.0	44.33281303	0.935186326247	2535.0	32.73161219	14494.0	133.79675144	2.0312865191	1281.0	20.90815795	1642.0	33.6973432	0.688568886226	1322.0	22.51884651	3139.0	26.20150904	0.218516974513	219.0	17.64747053	2719.0	129.34396787	2.87367945637	1175.0	26.37026519	3867.0	125.66362054	2.25258306709	889.0	20.29998474	1494.0	59.26057627	1.54559401272	645.0	18.06260854	880.0	32.45503054	0.845435856808	3264.0	36.17932143	1214.0	18.20778151	-0.990610198609	2389.0	24.08648162	1899.0	27.18733204	0.174710912632	7456.0	32.12378983	9319.0	25.4445526	-0.336285281853	2566.0	21.76078329	5582.0	22.1148514	0.0232850600943
YBR024W	SCO2	no	Not secreted	no	yes		301	80	TMD	TMD	157.0	14.9291153	71.0	5.8035853	-1.36311233461	2070.0	19.96271514	1617.0	22.3523628	0.16311938658	1760.0	18.9473258	2181.0	36.44098827	0.943567842447	1045.0	33.40715261	1265.0	51.26540478	0.617828563516	369.0	18.44060771	436.0	15.57769624	-0.243404309182	332.0	20.97317382	280.0	22.2402656	0.0846288197371	471.0	31.05238932	1031.0	33.30834727	0.101179489965	35.0	10.91605775	38.0	6.99648647		278.0	24.14798272	158.0	19.87247287	-0.281131265554	214.0	18.91329313	219.0	33.6216341	0.829989261851	162.0	17.55881485	337.0	48.1048296	1.45398627211	700.0	30.03085775	4906.0	284.79038333	3.2453828436	714.0	27.86216488	4587.0	254.17322327	3.18943278852	1241.0	20.69436419	20720.0	218.96499323	3.40339040984	589.0	19.33270377	11595.0	177.7969784	3.20111548177
YBR025C	OLA1	no	Not secreted	no	no		394	None	None	None	8137.0	591.11095686	2614.0	163.23522433	-1.85647655439	124794.0	919.41851062	37905.0	400.29502509	-1.19965802631	132374.0	1088.6999954	42282.0	539.70976576	-1.0123507591	42413.0	1035.8394256	14890.0	460.99778301	-1.16796865806	22718.0	867.3397132	24831.0	677.76825776	-0.355805096265	23556.0	1136.83619363	16140.0	979.3901734	-0.215068765615	26580.0	1338.74963593	48640.0	1200.48920373	-0.157263753493	1576.0	375.51238665	1598.0	224.77264209	-0.740394046765	11043.0	732.81340719	3359.0	322.75657891	-1.1829993955	13565.0	915.89028423	4692.0	550.30439317	-0.734944940245	10952.0	906.86761645	5849.0	637.83841939	-0.507700963951	22296.0	730.74680671	53781.0	2385.04689867	1.7065741104	38360.0	1143.57727982	110849.0	4692.48734044	2.03679899048	62054.0	790.53365083	177861.0	1435.93883282	0.861095514954	40678.0	1020.01643036	218808.0	2563.22714284	1.32936893888
YBR026C	ETR1	no	Not secreted	no	yes		380	None	None	None	141.0	37.83478796	85.0	19.60625835	-0.948399121271	3292.0	89.58738554	950.0	37.05738719	-1.2735344415	2564.0	77.89167585	808.0	38.09637154	-1.03181556231	1074.0	96.88693649	424.0	48.48835983	-0.998663702667	580.0	81.79271582	534.0	53.83884951	-0.60332478627	556.0	99.11482899	425.0	95.25957512	-0.0572368073264	755.0	140.46199711	1175.0	107.11987501	-0.390953670481	69.0	60.72739378	97.0	50.39714195	-0.269005534785	449.0	110.05763432	288.0	102.21746015	-0.106617573992	440.0	109.73466159	277.0	120.00303881	0.129051641442	417.0	127.54223171	474.0	190.93031691	0.582071169025	617.0	74.69518939	5156.0	844.5949045	3.49917230636	955.0	105.16174639	8412.0	1315.34019664	3.6447540724	1686.0	79.33697702	42606.0	1270.55500706	4.0013215987	961.0	89.00993037	38070.0	1647.30596804	4.20999843469
YBR027C	YBR027C	no	Not secreted	no	no		110	6	SP	SP+TMD	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	
YBR028C	YPK3	no	Not secreted	no	no		525	None	None	None	220.0	12.30655427	59.0	2.83706578	-2.11695536975	2823.0	16.01546353	814.0	6.61937817	-1.27469795362	1740.0	11.01955035	516.0	5.07181674	-1.11949083368	638.0	11.99839678	179.0	4.26742863	-1.49140271607	682.0	20.04991834	610.0	12.82111948	-0.645074124015	314.0	11.66903899	220.0	10.279784	-0.182875801233	265.0	10.27778101	485.0	9.21755055	-0.157073489553	71.0	13.02673263	98.0	10.61455638	-0.295431194809	372.0	19.00896061	89.0	6.58512773	-1.52939631965	248.0	12.89390397	64.0	5.78008263	-1.15752712163	92.0	5.86607191	76.0	6.38192568	0.121597051305	970.0	24.48052918	489.0	16.69882856	-0.551887844479	516.0	11.84529056	232.0	7.56255266	-0.647368399436	2096.0	20.56131824	2413.0	15.00104899	-0.454869373752	656.0	12.66661328	1053.0	9.49863861	-0.415238177775
YBR029C	CDS1	no	Not secreted	no	yes	indept	457	62	TMD	TMD	1669.0	104.53002445	12940.0	696.66275878	2.73654305264	8220.0	52.21212597	16250.0	147.95071857	1.5026598949	8292.0	58.79560234	7370.0	81.1058657	0.464098004455	2797.0	58.89330576	1942.0	51.8362274	-0.184142932371	4183.0	137.68512499	13541.0	318.65282671	1.21061275442	1664.0	69.23563662	1112.0	58.17508424	-0.251113411083	1326.0	57.57950605	2115.0	45.00441138	-0.355488989822	332.0	68.20028029	3180.0	385.6326682	2.49937769857	975.0	55.78160058	1536.0	127.24371407	1.18973315158	1109.0	64.55579322	744.0	75.23119039	0.220784350024	834.0	59.53831385	545.0	51.23958192	-0.216559660105	4934.0	139.4180928	1880.0	71.87964459	-0.955762616661	3383.0	86.94987048	1361.0	49.67175183	-0.807758249669	11472.0	125.99976644	12752.0	88.75923216	-0.505451967261	3486.0	75.36244501	4517.0	45.6198664	-0.724183549913
YBR030W	RKM3	no	Not secreted	no	no		552	None	None	None	173.0	8.9703201	106.0	4.72466811	-0.924946478648	1449.0	7.61982623	488.0	3.67841443	-1.05067406675	1236.0	7.2557305	620.0	5.64876605	-0.361185119687	532.0	9.27389599	222.0	4.90584991	-0.918672449839	416.0	11.33625513	358.0	6.97472656	-0.700735569387	203.0	6.99277458	152.0	6.58344094	-0.0870231704604	209.0	7.51359565	292.0	5.14404416	-0.54660045051	30.0	5.10207047	39.0	3.9155108		123.0	5.82597464	49.0	3.36061161	-0.793775603309	139.0	6.6987782	71.0	5.94374911	-0.172524764348	57.0	3.36885608	90.0	7.00533175		420.0	9.82531324	233.0	7.37532419	-0.413796936638	256.0	5.44733431	131.0	3.95821855	-0.460699138084	1150.0	10.45696283	1176.0	6.7767221	-0.625804373517	444.0	7.94671595	751.0	6.27944091	-0.339722662703
YBR031W	RPL4A	no	Not secreted	no	no		362	None	None	None	14923.0	6250.63944129	3813.0	1372.89940855	-2.1867778612	103331.0	4389.48718732	27170.0	1654.38637842	-1.40775619098	71733.0	3401.63834479	18326.0	1348.76426915	-1.3345915421	12434.0	1750.92652885	3497.0	624.25695103	-1.48790666208	17947.0	3950.70511925	18078.0	2845.12278109	-0.473619254246	10132.0	2819.38992064	7191.0	2515.96801735	-0.16426943294	4657.0	1352.42827699	8745.0	1244.4805739	-0.120008375669	1446.0	1986.55211377	1502.0	1218.14846899	-0.705576659658	8580.0	3282.89685236	2820.0	1562.34817141	-1.07125342572	7194.0	2800.64268015	1789.0	1209.81490985	-1.21097158319	2136.0	1019.80073953	879.0	552.68992015	-0.883745082964	15348.0	2900.38317089	6720.0	1718.30770936	-0.755255094818	10141.0	1743.13618405	3678.0	897.73192642	-0.957328677438	63228.0	4644.33608962	48136.0	2240.72636767	-1.05150589629	25152.0	3636.50103299	25622.0	1730.61530098	-1.07126592291
YBR032W	YBR032W	no	Not secreted	no	no		100	None	None	None	0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0			0.0		0.0		
YBR033W	EDS1	no	Not secreted	no	no		919	485	TMD	TMD	5.0	0.15680458	6.0	0.16174974		123.0	0.39120886	125.0	0.56987255	0.542700257204	209.0	0.74205458	164.0	0.90371738	0.284346363778	173.0	1.82399473	150.0	2.00483867	0.136384586042	17.0	0.28018965	19.0	0.22388482		26.0	0.54169363	22.0	0.57631368		36.0	0.78276414	79.0	0.84173583		0.0	0.0	2.0	0.1214453		25.0	0.7161935	11.0	0.45629091		29.0	0.84528991	4.0	0.20252983		44.0	1.5728495	47.0	2.21264094		52.0	0.73574505	39.0	0.74664935		159.0	2.04629422	73.0	1.33406879	-0.617180533731	96.0	0.52796587	362.0	1.26167592	1.25682480483	71.0	0.76858155	306.0	1.54749536	1.00966483402
YBR034C	HMT1	no	Not secreted	no	no		348	None	None	None	830.0	68.26526238	372.0	26.30075495	-1.37604742014	6358.0	53.03432422	2413.0	28.85080873	-0.878314624949	3705.0	34.49933462	1755.0	25.36289672	-0.443849010834	1410.0	38.9878723	587.0	20.57591789	-0.922068633549	2802.0	121.11676033	2936.0	90.73190819	-0.416716615669	820.0	44.80507168	559.0	38.40440117	-0.222390392187	735.0	41.91299602	1347.0	37.63996978	-0.155132181946	202.0	54.49245841	244.0	38.85737689	-0.487868065619	523.0	39.29388782	172.0	18.71158274	-1.07037332244	571.0	43.6492454	158.0	20.98065494	-1.0568969987	362.0	33.93719994	178.0	21.97687984	-0.626880962514	3791.0	140.67299465	1752.0	87.96686806	-0.67731324446	1371.0	46.27445926	555.0	26.59997883	-0.798791034051	6941.0	100.11279867	7475.0	68.32558922	-0.551128522401	1804.0	51.21546103	2608.0	34.58983272	-0.566231363054
YBR035C	PDX3	no	Not secreted	no	no		228	None	None	None	1618.0	203.11621061	444.0	47.91292031	-2.08381873099	18507.0	235.62259657	6037.0	110.17073388	-1.09673686998	16851.0	239.49286654	5693.0	125.57619314	-0.931419702349	7080.0	298.80514896	2347.0	125.567892	-1.25073739769	3240.0	213.7595477	3950.0	186.31399834	-0.198252787849	3264.0	272.21237901	2245.0	235.41272367	-0.209540377922	3672.0	319.60122591	6421.0	273.8600841	-0.222833937705	243.0	100.05428723	231.0	56.14874198	-0.833457382336	2155.0	247.12403334	724.0	120.216766	-1.03959720749	2243.0	261.70637527	721.0	146.13075091	-0.840689266943	2077.0	297.19967494	893.0	168.2836361	-0.820537642111	4710.0	266.76094821	3273.0	250.82766208	-0.0888510203561	5194.0	267.57789938	3597.0	263.13168252	-0.0241739938971	9581.0	210.92244403	13719.0	191.39872557	-0.140131395266	5606.0	242.91931269	9933.0	201.07853253	-0.272718126976
YBR036C	CSG2	yes	SRP independent	no	no	indept	410	53	TMD	TMD	1505.0	105.06390984	15007.0	900.56392272	3.09956150443	17050.0	120.71362344	98345.0	998.04090532	3.04751044225	14755.0	116.6157226	78318.0	960.67990861	3.04229350423	7233.0	169.75566435	42318.0	1259.04611828	2.89079950953	3293.0	120.81566053	11834.0	310.4065991	1.36135175514	2026.0	93.96111296	5270.0	307.30893829	1.70955402217	2961.0	143.31615948	16930.0	401.54480877	1.48635969994	358.0	81.97160635	2824.0	381.71896099	2.21931467587	1721.0	109.74874675	4820.0	445.06608665	2.0198151085	1409.0	91.42121991	3580.0	403.49705396	2.14195716477	1540.0	122.54159948	4742.0	496.93887018	2.01979680541	4706.0	148.21912955	1542.0	65.71504186	-1.17343611819	4916.0	140.83518195	2125.0	86.44554756	-0.704144213907	10932.0	133.83280122	14545.0	112.84473512	-0.24609264117	4740.0	114.21898124	10066.0	113.31650938	-0.0114443553477
YBR037C	SCO1	no	Not secreted	no	yes		295	76	TMD	TMD	540.0	52.39292672	309.0	25.77157629	-1.02359127387	4630.0	45.55905788	4826.0	68.06834872	0.579246197877	3895.0	42.78457247	5536.0	94.37892838	1.14137411622	2118.0	69.08656595	3106.0	128.43393722	0.894549361281	741.0	37.78431478	899.0	32.77335582	-0.20526405484	666.0	42.92840783	631.0	51.13941751	0.252503062318	735.0	49.4431275	1745.0	57.5220466	0.218345003844	100.0	31.82308361	122.0	22.91926637	-0.473512772315	527.0	46.70798749	366.0	46.96998169	0.00806974621435	511.0	46.08066734	564.0	88.34831811	0.939041060369	383.0	42.35682889	792.0	115.35287973	1.4453875318	1219.0	53.36025324	8551.0	506.47634024	3.24665745743	1343.0	53.47331869	8115.0	458.81125197	3.10100965075	2463.0	41.90725336	37586.0	405.28032996	3.27364828262	1263.0	42.29851609	22351.0	349.69954014	3.04743694193
YBR038W	CHS2	yes	Internal	no	no	dept	963	605	TMD	TMD	1645.0	48.89230705	3900.0	99.64209243	1.02714783523	13585.0	40.94954827	5802.0	25.06867332	-0.707961888904	12087.0	40.67185547	3591.0	18.75383516	-1.11684515179	3895.0	38.91982162	1000.0	12.66700884	-1.61942920806	3448.0	53.85875731	4222.0	47.14929238	-0.191944823745	2126.0	41.97875373	1105.0	27.43370249	-0.61370999295	1918.0	39.5241853	2477.0	25.01270343	-0.660074729342	275.0	26.8083869	734.0	42.24085208	0.655954524097	1640.0	44.52665975	656.0	25.78925959	-0.787899035468	1376.0	38.0112387	412.0	19.77024845	-0.943095038791	839.0	28.42381411	390.0	17.40057482	-0.707965193046	4658.0	62.46106564	1981.0	35.94367347	-0.797219322316	3929.0	47.9224357	1341.0	23.22576581	-1.04497506968	10401.0	54.21202265	10546.0	34.8347672	-0.638084913041	4079.0	41.84766356	5046.0	24.18472078	-0.791051194907
